params,revs,its,mem_peak,min,max,best,worst
"{""batchSize"":""100"",""configFile"":""metricsClassicNonRepeating.ini""}",1,1,3315080,11335761,11335761,11335761,11335761
"{""batchSize"":""500"",""configFile"":""metricsClassicNonRepeating.ini""}",1,1,5981952,11249701,11249701,11249701,11249701
"{""batchSize"":""1000"",""configFile"":""metricsClassicNonRepeating.ini""}",1,1,7937472,11268805,11268805,11268805,11268805
"{""batchSize"":""1500"",""configFile"":""metricsClassicNonRepeating.ini""}",1,1,7937472,11150419,11150419,11150419,11150419
"{""batchSize"":""2000"",""configFile"":""metricsClassicNonRepeating.ini""}",1,1,7937472,10908582,10908582,10908582,10908582
"{""batchSize"":""5000"",""configFile"":""metricsClassicNonRepeating.ini""}",1,1,7937472,10857862,10857862,10857862,10857862
"{""batchSize"":""100"",""configFile"":""metricsClassicRepeating.ini""}",1,1,8503312,26235016,26235016,26235016,26235016
"{""batchSize"":""500"",""configFile"":""metricsClassicRepeating.ini""}",1,1,30627664,24301871,24301871,24301871,24301871
"{""batchSize"":""1000"",""configFile"":""metricsClassicRepeating.ini""}",1,1,37726544,24237165,24237165,24237165,24237165
"{""batchSize"":""1500"",""configFile"":""metricsClassicRepeating.ini""}",1,1,37726544,24462727,24462727,24462727,24462727
"{""batchSize"":""2000"",""configFile"":""metricsClassicRepeating.ini""}",1,1,37726544,25442996,25442996,25442996,25442996
"{""batchSize"":""5000"",""configFile"":""metricsClassicRepeating.ini""}",1,1,37726544,25811123,25811123,25811123,25811123
"{""batchSize"":""100"",""configFile"":""metricsRepeatingEvents.ini""}",1,1,14727192,43562253,43562253,43562253,43562253
"{""batchSize"":""500"",""configFile"":""metricsRepeatingEvents.ini""}",1,1,51336848,42940036,42940036,42940036,42940036
"{""batchSize"":""1000"",""configFile"":""metricsRepeatingEvents.ini""}",1,1,65212736,40539748,40539748,40539748,40539748
"{""batchSize"":""1500"",""configFile"":""metricsRepeatingEvents.ini""}",1,1,65212736,40290460,40290460,40290460,40290460
"{""batchSize"":""2000"",""configFile"":""metricsRepeatingEvents.ini""}",1,1,65212736,40761146,40761146,40761146,40761146
"{""batchSize"":""5000"",""configFile"":""metricsRepeatingEvents.ini""}",1,1,65212736,41543625,41543625,41543625,41543625
